,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
520,Christian Wood,DET,2020,62,21.4,0.5670000000000001,0.386,6.3,1.0,0.5,0.9,13.1,PF,23.2,0.659,3.1,0.183,0
521,Delon Wright,DAL,2020,73,21.5,0.462,0.37,3.8,3.3,1.2,0.3,6.9,PG,15.4,0.5539999999999999,1.9,0.134,1
523,Thaddeus Young,CHI,2020,64,24.9,0.44799999999999995,0.35600000000000004,4.9,1.8,1.4,0.4,10.3,PF,13.3,0.521,-1.2,0.057999999999999996,0
525,Cody Zeller,CHO,2020,58,23.1,0.524,0.24,7.1,1.5,0.7,0.4,11.1,C,18.8,0.5760000000000001,-0.6,0.129,0
533,Bam Adebayo,MIA,2019,82,23.3,0.5760000000000001,0.2,7.3,2.2,0.9,0.8,8.9,C,17.9,0.623,1.8,0.171,0
539,Jarrett Allen,BRK,2019,80,26.2,0.59,0.133,8.4,1.4,0.5,1.5,10.9,C,18.5,0.632,1.6,0.175,1
541,Al-Farouq Aminu,POR,2019,81,28.3,0.433,0.34299999999999997,7.5,1.3,0.8,0.4,9.4,PF,13.2,0.568,0.7,0.121,1
543,Kyle Anderson,MEM,2019,43,29.8,0.5429999999999999,0.265,5.8,3.0,1.3,0.9,8.0,SF,12.8,0.569,0.8,0.1,0
549,OG Anunoby,TOR,2019,67,20.2,0.45299999999999996,0.332,2.9,0.7,0.7,0.3,7.0,SF,9.8,0.544,-2.4,0.07,1
550,Ryan Arcidiacono,CHI,2019,81,24.2,0.447,0.373,2.7,3.3,0.8,0.0,6.7,PG,11.6,0.588,-1.9,0.09,0
552,D.J. Augustin,ORL,2019,81,28.0,0.47,0.42100000000000004,2.5,5.3,0.6,0.0,11.7,PG,15.7,0.616,0.5,0.146,1
555,Marvin Bagley III,SAC,2019,62,25.3,0.504,0.313,7.6,1.0,0.5,1.0,14.9,PF,18.9,0.562,-1.0,0.11,0
562,Will Barton,DEN,2019,43,27.7,0.402,0.342,4.6,2.9,0.4,0.5,11.5,SF,11.0,0.501,-1.8,0.049,1
567,Kent Bazemore,ATL,2019,67,24.5,0.402,0.32,3.9,2.3,1.3,0.6,11.6,SG,11.9,0.507,-2.3,0.021,0
569,Malik Beasley,DEN,2019,81,23.2,0.474,0.402,2.5,1.2,0.7,0.1,11.3,SG,14.2,0.599,0.1,0.115,1
571,Marco Belinelli,SAS,2019,79,23.0,0.413,0.37200000000000005,2.5,1.7,0.4,0.1,10.5,SG,11.9,0.557,-1.7,0.065,1
573,DeAndre' Bembry,ATL,2019,82,23.5,0.446,0.289,4.4,2.5,1.3,0.5,8.4,SG,10.8,0.508,-2.4,0.022000000000000002,0
576,Dāvis Bertāns,SAS,2019,76,21.5,0.45,0.429,3.5,1.3,0.5,0.4,8.0,PF,13.0,0.632,1.3,0.11800000000000001,1
577,Patrick Beverley,LAC,2019,78,27.4,0.40700000000000003,0.397,5.0,3.8,0.9,0.6,7.6,PG,11.8,0.561,0.9,0.10800000000000001,1
580,Nemanja Bjelica,SAC,2019,77,23.2,0.479,0.401,5.8,1.9,0.7,0.7,9.6,PF,15.4,0.585,0.9,0.122,0
582,Eric Bledsoe,MIL,2019,78,29.1,0.484,0.32899999999999996,4.6,5.5,1.5,0.4,15.9,PG,19.3,0.5770000000000001,3.1,0.17300000000000001,1
584,Bogdan Bogdanović,SAC,2019,70,27.8,0.418,0.36,3.5,3.8,1.0,0.2,14.1,SG,14.1,0.53,-0.6,0.067,0
594,Mikal Bridges,PHO,2019,82,29.5,0.43,0.335,3.2,2.1,1.6,0.5,8.3,SF,10.8,0.556,-1.6,0.057999999999999996,0
595,Miles Bridges,CHO,2019,80,21.2,0.46399999999999997,0.325,4.0,1.2,0.7,0.6,7.5,SF,13.1,0.5479999999999999,-0.8,0.083,0
598,Malcolm Brogdon,MIL,2019,64,28.6,0.505,0.426,4.5,3.2,0.7,0.2,15.6,SG,17.8,0.614,2.2,0.171,1
602,Jaylen Brown,BOS,2019,74,25.9,0.465,0.344,4.2,1.4,0.9,0.4,13.0,SG,13.5,0.547,-2.1,0.076,1
606,Jalen Brunson,DAL,2019,73,21.8,0.467,0.348,2.3,3.2,0.5,0.1,9.3,PG,12.8,0.5489999999999999,-1.7,0.077,0
607,Thomas Bryant,WAS,2019,72,20.8,0.616,0.33299999999999996,6.3,1.3,0.3,0.9,10.5,C,21.0,0.674,2.0,0.17800000000000002,0
608,Reggie Bullock,TOT,2019,63,29.8,0.41200000000000003,0.377,2.7,2.0,0.6,0.2,11.3,SG,10.5,0.563,-1.1,0.078,0
