,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
266,Kira Lewis Jr.,NOP,2021,21,13.0,0.389,0.33299999999999996,0.8,1.8,0.6,0.0,5.2,PG,10.5,0.47100000000000003,-4.8,0.028999999999999998
268,Nassir Little,POR,2021,20,12.0,0.47100000000000003,0.45899999999999996,2.3,0.4,0.2,0.3,5.3,PF,14.7,0.648,-2.0,0.115
269,Kevon Looney,GSW,2021,27,14.9,0.595,0.33299999999999996,4.2,1.6,0.4,0.3,3.9,C,14.3,0.637,-0.4,0.168
274,Timothé Luwawu-Cabarrot,BRK,2021,34,19.7,0.389,0.363,2.4,1.3,0.7,0.1,7.2,SF,9.3,0.527,-3.5,0.042
275,Trey Lyles,SAS,2021,20,15.9,0.506,0.37799999999999995,4.0,0.6,0.3,0.1,5.5,PF,12.7,0.602,-0.7,0.114
279,Terance Mann,LAC,2021,35,15.7,0.48100000000000004,0.382,3.3,1.3,0.4,0.2,4.8,SG,11.8,0.5760000000000001,-1.8,0.10800000000000001
284,Caleb Martin,CHO,2021,26,15.2,0.414,0.33299999999999996,2.8,1.2,0.8,0.3,5.5,SF,11.7,0.495,-2.0,0.053
285,Cody Martin,CHO,2021,23,11.7,0.516,0.2,2.3,1.0,0.5,0.2,3.4,SF,12.7,0.57,-1.4,0.084
289,Garrison Mathews,WAS,2021,29,16.2,0.426,0.408,1.8,0.4,0.7,0.2,6.9,SG,13.9,0.66,0.1,0.14800000000000002
292,Tyrese Maxey,PHI,2021,32,16.2,0.45,0.273,1.9,1.8,0.5,0.2,8.0,SG,12.6,0.504,-3.1,0.059000000000000004
297,Jaden McDaniels,MIN,2021,30,19.1,0.38299999999999995,0.337,3.4,1.0,0.3,1.0,5.1,PF,7.3,0.484,-4.8,0.008
298,Jalen McDaniels,CHO,2021,17,12.5,0.439,0.261,2.6,0.5,0.1,0.2,4.5,SF,6.9,0.518,-7.4,-0.002
